Year	Commodity	Volume	County	State	Product
2004		85508		VA	Natural Gas (MMcf)
2005		88610		VA	Natural Gas (MMcf)
2006		103027		VA	Natural Gas (MMcf)
2007		112057		VA	Natural Gas (MMcf)
2008		128454		VA	Natural Gas (MMcf)
2009		140738		VA	Natural Gas (MMcf)
2010		147255		VA	Natural Gas (MMcf)
2011		151094		VA	Natural Gas (MMcf)
2012		146405		VA	Natural Gas (MMcf)
2013		139382		VA	Natural Gas (MMcf)
2004		19000		VA	Crude Oil (bbl)
2005		26000		VA	Crude Oil (bbl)
2006		17000		VA	Crude Oil (bbl)
2007		19000		VA	Crude Oil (bbl)
2008		16000		VA	Crude Oil (bbl)
2009		11000		VA	Crude Oil (bbl)
2010		12000		VA	Crude Oil (bbl)
2011		11000		VA	Crude Oil (bbl)
2012		9000		VA	Crude Oil (bbl)
2013		9000		VA	Crude Oil (bbl)
2004		1583		VA	Conventional Hydroelectric (Kwh)
2005		1484		VA	Conventional Hydroelectric (Kwh)
2006		1351		VA	Conventional Hydroelectric (Kwh)
2007		1248		VA	Conventional Hydroelectric (Kwh)
2008		1011		VA	Conventional Hydroelectric (Kwh)
2009		1479		VA	Conventional Hydroelectric (Kwh)
2010		1500		VA	Conventional Hydroelectric (Kwh)
2011		1210		VA	Conventional Hydroelectric (Kwh)
2012		1044		VA	Conventional Hydroelectric (Kwh)
2013		1254		VA	Conventional Hydroelectric (Kwh)
2004		2432		VA	All Other Renewables (Kwh)
2005		2498		VA	All Other Renewables (Kwh)
2006		2458		VA	All Other Renewables (Kwh)
2007		2566		VA	All Other Renewables (Kwh)
2008		2698		VA	All Other Renewables (Kwh)
2009		2418		VA	All Other Renewables (Kwh)
2010		2220		VA	All Other Renewables (Kwh)
2011		2196		VA	All Other Renewables (Kwh)
2012		2358		VA	All Other Renewables (Kwh)
2013		2906		VA	All Other Renewables (Kwh)
2004		2432		VA	Biomass (total) (Kwh)
2005		2498		VA	Biomass (total) (Kwh)
2006		2458		VA	Biomass (total) (Kwh)
2007		2566		VA	Biomass (total) (Kwh)
2008		2698		VA	Biomass (total) (Kwh)
2009		2418		VA	Biomass (total) (Kwh)
2010		2220		VA	Biomass (total) (Kwh)
2011		2196		VA	Biomass (total) (Kwh)
2012		2358		VA	Biomass (total) (Kwh)
2013		2906		VA	Biomass (total) (Kwh)
2004		1733		VA	Wood and wood-derived fuels (Kwh)
2005		1803		VA	Wood and wood-derived fuels (Kwh)
2006		1780		VA	Wood and wood-derived fuels (Kwh)
2007		1792		VA	Wood and wood-derived fuels (Kwh)
2008		1916		VA	Wood and wood-derived fuels (Kwh)
2009		1708		VA	Wood and wood-derived fuels (Kwh)
2010		1404		VA	Wood and wood-derived fuels (Kwh)
2011		1406		VA	Wood and wood-derived fuels (Kwh)
2012		1436		VA	Wood and wood-derived fuels (Kwh)
2013		1946		VA	Wood and wood-derived fuels (Kwh)
2004		699		VA	Other biomass (Kwh)
2005		695		VA	Other biomass (Kwh)
2006		678		VA	Other biomass (Kwh)
2007		773		VA	Other biomass (Kwh)
2008		782		VA	Other biomass (Kwh)
2009		709		VA	Other biomass (Kwh)
2010		815		VA	Other biomass (Kwh)
2011		790		VA	Other biomass (Kwh)
2012		923		VA	Other biomass (Kwh)
2013		960		VA	Other biomass (Kwh)
2004		8879		VA	All Renewables (Kwh)
2005		8978		VA	All Renewables (Kwh)
2006		8725		VA	All Renewables (Kwh)
2007		8945		VA	All Renewables (Kwh)
2008		9105		VA	All Renewables (Kwh)
2009		8732		VA	All Renewables (Kwh)
2010		8159		VA	All Renewables (Kwh)
2011		7798		VA	All Renewables (Kwh)
2012		8119		VA	All Renewables (Kwh)
2013		9972		VA	All Renewables (Kwh)
2004		11041	Buchanan County	VA	Coal (short tons)
2004		624	Dickenson County	VA	Coal (short tons)
2004		293374	Lee County	VA	Coal (short tons)
2004		18953	Russell County	VA	Coal (short tons)
2004		182100	Tazewell County	VA	Coal (short tons)
2005		9777	Buchanan County	VA	Coal (short tons)
2005		98228	Dickenson County	VA	Coal (short tons)
2005		2283	Lee County	VA	Coal (short tons)
2005		26624	Russell County	VA	Coal (short tons)
2005		92814	Tazewell County	VA	Coal (short tons)
2005		713	Wise County	VA	Coal (short tons)
2006		618	Buchanan County	VA	Coal (short tons)
2006		11574	Dickenson County	VA	Coal (short tons)
2006		6600	Lee County	VA	Coal (short tons)
2006		918	Russell County	VA	Coal (short tons)
2006		7243	Tazewell County	VA	Coal (short tons)
2006		41405	Wise County	VA	Coal (short tons)
2007		1598	Buchanan County	VA	Coal (short tons)
2007		160859	Dickenson County	VA	Coal (short tons)
2007		832	Lee County	VA	Coal (short tons)
2007		26353	Russell County	VA	Coal (short tons)
2007		25579	Tazewell County	VA	Coal (short tons)
2007		297477	Wise County	VA	Coal (short tons)
2008		16946	Buchanan County	VA	Coal (short tons)
2008		5193	Dickenson County	VA	Coal (short tons)
2008		8466	Lee County	VA	Coal (short tons)
2008		43096	Russell County	VA	Coal (short tons)
2008		95255	Tazewell County	VA	Coal (short tons)
2008		2237	Wise County	VA	Coal (short tons)
2009		234474	Buchanan County	VA	Coal (short tons)
2009		54160	Dickenson County	VA	Coal (short tons)
2009		519	Lee County	VA	Coal (short tons)
2009		191612	Russell County	VA	Coal (short tons)
2009		488891	Tazewell County	VA	Coal (short tons)
2009		368236	Wise County	VA	Coal (short tons)
2010		2849	Buchanan County	VA	Coal (short tons)
2010		128209	Dickenson County	VA	Coal (short tons)
2010		141110	Giles County	VA	Coal (short tons)
2010		10603	Lee County	VA	Coal (short tons)
2010		8264	Russell County	VA	Coal (short tons)
2010		575177	Tazewell County	VA	Coal (short tons)
2010		741434	Wise County	VA	Coal (short tons)
2011		7844	Buchanan County	VA	Coal (short tons)
2011		6287	Dickenson County	VA	Coal (short tons)
2011		151260	Giles County	VA	Coal (short tons)
2011		185288	Lee County	VA	Coal (short tons)
2011		120582	Russell County	VA	Coal (short tons)
2011		52274	Tazewell County	VA	Coal (short tons)
2011		54280	Wise County	VA	Coal (short tons)
2012		115761	Buchanan County	VA	Coal (short tons)
2012		59671	Dickenson County	VA	Coal (short tons)
2012		174807	Giles County	VA	Coal (short tons)
2012		58820	Lee County	VA	Coal (short tons)
2012		73542	Russell County	VA	Coal (short tons)
2012		228312	Tazewell County	VA	Coal (short tons)
2012		110999	Wise County	VA	Coal (short tons)
2013		13314	Buchanan County	VA	Coal (short tons)
2013		211604	Dickenson County	VA	Coal (short tons)
2013		10056	Lee County	VA	Coal (short tons)
2013		89623	Russell County	VA	Coal (short tons)
2013		355917	Tazewell County	VA	Coal (short tons)
